NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MIR6803_5P	54	50		
MIR6804_3P	96	88		
MIR6804_5P	75	68		
MIR6805_5P	40	39		
MIR6806_3P	108	97		
MIR6806_5P	68	64		
MIR6807_3P	142	139		
MIR6807_5P	59	55		
MIR6808_3P	41	39		
MIR6808_5P	181	175		
MIR6809_3P	558		Rejected!	
MIR6809_5P	140	132		
MIR6810_3P	74	71		
MIR6810_5P	72	69		
MIR6811_3P	57	54		
MIR6811_5P	73	70		
MIR6812_5P	70	65		
MIR6813_3P	34	33		
MIR6813_5P	40	37		
MIR6814_3P_MIR6872_5P	7		Rejected!	
MIR6814_5P	112	109		
MIR6815_3P	204	199		
MIR6815_5P	57	55		
MIR6816_3P	34	31		
MIR6816_5P	19	16		
MIR6817_3P	224	213		
MIR6817_5P	110	105		
MIR6818_3P	127	113		
MIR6818_5P	123	108		
MIR6819_3P	34	33		
MIR6819_5P	86	81		
MIR6820_3P	103	96		
MIR6820_5P	11		Rejected!	
MIR6821_3P	50	50		
MIR6822_3P	54	52		
MIR6822_5P	76	71		
MIR6823_3P	58	54		
MIR6823_5P	70	62		
MIR6824_3P	111	109		
MIR6824_5P	77	60		
MIR6825_5P	417	396		
MIR6826_3P	100	96		
MIR6826_5P	40	38		
MIR6827_3P	83	82		
MIR6827_5P	78	73		
MIR6828_3P	116	114		
MIR6828_5P	172	159		
MIR6829_3P	83	80		
MIR6829_5P	98	93		
MIR6830_3P	203	184		
MIR6830_5P	192	181		
MIR6831_3P	58	57		
MIR6831_5P	120	113		
MIR6832_3P	252	240		
MIR6832_5P	85	77		
MIR6833_3P	405	392		
MIR6833_5P	131	121		
MIR6834_3P	48	43		
MIR6834_5P	59	58		
MIR6835_3P	451	417		
MIR6835_5P	33	31		
MIR6836_3P	56	54		
MIR6836_5P	127	117		
MIR6837_3P	107	105		
MIR6837_5P	123	116		
MIR6838_3P	61	60		
MIR6838_5P	532		Rejected!	
MIR6839_3P	158	147		
MIR6839_5P	107	99		
MIR6840_3P	163	155		
MIR6841_3P	54	51		
MIR6841_5P	40	35		
MIR6842_3P	124	118		
MIR6842_5P	155	146		
MIR6843_3P	88	84		
MIR6844	345	330		
MIR6845_3P	137	135		
MIR6845_5P	62	58		
MIR6846_3P	26	24		
MIR6846_5P	83	79		
MIR6847_3P	58	55		
MIR6847_5P	153	145		
MIR6848_3P	87	84		
MIR6848_5P	82	78		
MIR6849_3P	77	77		
MIR6849_5P	33	31		
MIR6851_3P	59	57		
MIR6851_5P	108	104		
MIR6852_3P	154	146		
MIR6852_5P	187	180		
MIR6853_3P	209	195		
MIR6853_5P	8		Rejected!	
MIR6854_3P	11		Rejected!	
MIR6854_5P	74	71		
MIR6855_3P	48	46		
MIR6855_5P	67	62		
MIR6856_3P	69	68		
MIR6856_5P	106	102		
MIR6857_3P	72	68		
MIR6857_5P	79	76		
MIR6858_3P	46	44		
MIR6858_5P	60	57		
MIR6859_3P	37	35		
MIR6859_5P	206	201		
MIR6860	107	102		
MIR6861_3P	49	46		
MIR6861_5P	68	65		
MIR6862_3P	29	27		
MIR6862_5P	50	47		
MIR6863	10		Rejected!	
MIR6864_3P	47	46		
MIR6864_5P	87	82		
MIR6865_3P	45	43		
MIR6865_5P	58	56		
MIR6866_3P	73	71		
MIR6866_5P	74	70		
MIR6867_3P	117	113		
MIR6867_5P	884		Rejected!	
MIR6868_3P	271	256		
MIR6868_5P	119	113		
MIR6869_5P	46	40		
MIR6870_3P	47	43		
MIR6870_5P	215	203		
MIR6871_3P	124	121		
MIR6871_5P	59	48		
MIR6872_3P	67	66		
MIR6873_3P	382	363		
MIR6873_5P	112	102		
MIR6874_3P	81	77		
MIR6874_5P	36	36		
MIR6875_3P	398	377		
MIR6875_5P	69	67		
MIR6876_3P	52	49		
MIR6876_5P	230	217		
MIR6877_3P	33	32		
MIR6878_3P	69	61		
MIR6878_5P	221	198		
MIR6879_3P	46	45		
MIR6879_5P	112	105		
MIR6880_5P	94	89		
MIR6881_3P	181	177		
MIR6881_5P	58	55		
MIR6882_3P	113	107		
MIR6882_5P	169	158		
MIR6883_3P	60	59		
MIR6883_5P	407	387		
MIR6884_3P	64	61		
MIR6884_5P	144	139		
MIR6885_3P	409	389		
MIR6885_5P	51	47		
MIR6886_3P	94	90		
MIR6886_5P	8		Rejected!	
MIR6887_3P	196	175		
MIR6887_5P	136	129		
MIR6888_3P	92	84		
MIR6888_5P	53	50		
MIR6889_3P	108	104		
MIR6889_5P	13		Rejected!	
MIR6890_3P	92	90		
MIR6890_5P	20	20		
MIR6891_3P	66	64		
MIR6891_5P	124	115		
MIR6892_3P	103	93		
MIR6892_5P	91	85		
MIR6893_3P	91	89		
MIR6893_5P	182	176		
MIR6894_3P	73	68		
MIR6894_5P	47	36		
MIR6895_3P	90	83		
MIR6895_5P	46	45		
MIR708_3P	115	110		
MIR708_5P	49	44		
MIR7106_3P	48	39		
MIR7106_5P	359	336		
MIR7107_3P	52	50		
MIR7108_3P	13		Rejected!	
MIR7108_5P	48	43		
MIR7109_3P	66	61		
MIR7109_5P	75	75		
MIR711	41	39		
MIR7110_3P	403	379		
MIR7110_5P	167	156		
MIR7111_3P	123	117		
MIR7111_5P	204	192		
MIR7112_3P	95	89		
MIR7112_5P	7		Rejected!	
MIR7113_3P	91	86		
MIR7113_5P	150	142		
MIR7114_3P	46	46		
MIR7114_5P	151	144		
MIR7150	132	126		
MIR7151_3P	274	267		
MIR7151_5P	52	49		
MIR7152_3P	95	92		
MIR7152_5P	251	238		
MIR7153_3P	51	49		
MIR7153_5P	117	113		
MIR7154_3P	67	62		
MIR7154_5P	267	247		
MIR7155_3P	64	64		
MIR7155_5P	96	91		
MIR7156_3P	95	91		
MIR7156_5P	144	137		
MIR7157_3P	196	188		
MIR7157_5P	213	209		
MIR7158_3P	60	58		
MIR7158_5P	73	70		
MIR7159_3P	226	213		
MIR7159_5P	372	337		
MIR7160_3P	30	29		
MIR7160_5P	192	185		
MIR7161_3P	85	82		
MIR7161_5P	192	181		
MIR7162_3P	218	211		
MIR7162_5P	178	161		
MIR744_3P	63	57		
MIR744_5P	12		Rejected!	
MIR7515	157	146		
MIR758_3P	126	121		
MIR758_5P	34	33		
MIR759	71	55		
MIR760	129	128		
MIR761	225	217		
MIR762	175	168		
MIR764	48	47		
MIR765	289	265		
MIR766_3P	154	143		
MIR766_5P	226	200		
MIR767_3P	125	110		
MIR767_5P	191	186		
MIR769_3P	31	30		
MIR769_5P	48	44		
MIR7702	54	52		
MIR7703	112	106		
MIR7704	6		Rejected!	
MIR7705	50	48		
MIR7706	11		Rejected!	
MIR770_5P	100	96		
MIR7843_3P	88	83		
MIR7843_5P	100	94		
MIR7844_5P	159	145		
MIR7845_5P	58	55		
MIR7847_3P	72	70		
MIR7848_3P	28	28		
MIR7849_3P	116	114		
MIR7850_5P	122	113		
MIR7851_3P	56	53		
MIR7852_3P	75	71		
MIR7853_5P	222	216		
MIR7854_3P	107	105		
MIR7855_5P	84	76		
MIR7856_5P	408	388		
MIR7973	46	43		
MIR7974	90	87		
MIR7975	43	43		
MIR7976	101	97		
MIR7977	225	216		
MIR7978	85	80		
MIR7_1_3P	654		Rejected!	
MIR7_2_3P	652		Rejected!	
MIR7_5P	269	254		
MIR802	133	127		
MIR8052	43	42		
MIR8053	7		Rejected!	
MIR8054	307	290		
MIR8055	75	69		
MIR8056	50	42		
MIR8057	86	84		
MIR8058	43	40		
MIR8059	61	61		
MIR8060	102	95		
MIR8061	160	153		
MIR8062	109	104		
MIR8063	405	386		
MIR8064	82	78		
MIR8065	149	144		
MIR8066	153	147		
MIR8067	287	274		
MIR8068	401	374		
MIR8069	63	57		
MIR8070	135	129		
MIR8071	34	34		
MIR8073	80	75		
MIR8074	18	18		
MIR8075	99	89		
MIR8076	128	125		
MIR8077	68	63		
MIR8078	29	28		
MIR8079	37	32		
MIR8080	138	131		
MIR8081	58	55		
MIR8082	112	106		
MIR8083	54	53		
MIR8084	242	231		
MIR8085	235	211		
MIR8086	23	21		
MIR8087	141	136		
MIR8088	7		Rejected!	
MIR8089	166	157		
MIR8485	1034		Rejected!	
MIR873_3P	61	55		
MIR873_5P	116	108		
MIR874_3P	54	50		
MIR874_5P	60	58		
MIR875_3P	311	298		
MIR875_5P	52	51		
MIR876_3P	91	78		
MIR876_5P	138	128		
MIR877_3P	198	186		
MIR877_5P	81	76		
MIR885_3P	29	29		
MIR885_5P	117	110		
MIR887_3P	6		Rejected!	
MIR887_5P	107	98		
MIR888_3P	120	116		
MIR888_5P	233	225		
MIR889_3P	245	230		
MIR889_5P	114	107		
MIR890	97	92		
MIR891A_3P	127	124		
MIR891B	129	122		
MIR892A	127	114		
MIR892B	77	73		
MIR892C_3P	212	205		
MIR892C_5P	293	269		
MIR920	52	50		
MIR921	61	58		
MIR922	194	185		
MIR924	51	50		
MIR92A_1_5P	46	42		
MIR92A_2_5P	217	204		
MIR92A_3P	477	458		
MIR92B_3P	474	455		
MIR92B_5P	8		Rejected!	
MIR933	6		Rejected!	
MIR934	82	79		
MIR935	117	111		
MIR936	137	130		
MIR937_5P	56	53		
MIR938	75	73		
MIR939_3P	148	142		
MIR939_5P	124	116		
MIR93_3P	121	114		
MIR93_5P	615		Rejected!	
MIR940	182	176		
MIR942_3P	110	103		
MIR942_5P	215	204		
MIR943	56	54		
MIR944	425	408		
MIR9500	160	155		
MIR95_3P	6		Rejected!	
MIR95_5P	672		Rejected!	
MIR96_3P	71	68		
MIR96_5P	454	430		
MIR9718	102	97		
MIR9851_3P	181	173		
MIR9851_5P	116	112		
MIR9898	58	55		
MIR9899	6		Rejected!	
MIR98_3P	725		Rejected!	
MIR98_5P	403	390		
MIR9900	45	43		
MIR9902	288	277		
MIR9903	54	53		
MIR9983_3P	466	449		
MIR9985	623		Rejected!	
MIR9986	159	151		
MIR9_3P	341	325		
MIR9_5P	483	465		
