NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MIR4682	MIR4682		124	-0.2224138	-1.0594748	0.3473054	0.60585606	1.0	6706	tags=31%, list=24%, signal=40%	
MIR6806_5P	MIR6806_5P		64	-0.24155343	-1.0592092	0.4024145	0.6057157	1.0	7992	tags=36%, list=28%, signal=50%	
MIR4802_3P	MIR4802_3P		148	-0.22973175	-1.0590435	0.359375	0.60522944	1.0	6250	tags=31%, list=22%, signal=40%	
MIR3929	MIR3929		82	-0.22207394	-1.0584232	0.3767821	0.6059942	1.0	5661	tags=27%, list=20%, signal=33%	
MIR7843_5P	MIR7843_5P		94	-0.22582169	-1.0580571	0.37627813	0.606143	1.0	5554	tags=24%, list=20%, signal=30%	
MIR10395_3P	MIR10395_3P		138	-0.20753968	-1.0579145	0.374502	0.6056621	1.0	6165	tags=26%, list=22%, signal=33%	
MIR3145_3P	MIR3145_3P		215	-0.23085599	-1.0575508	0.36916837	0.605676	1.0	4362	tags=20%, list=15%, signal=24%	
MIR4487	MIR4487		73	-0.21982203	-1.0575494	0.3640082	0.6047899	1.0	2227	tags=16%, list=8%, signal=18%	
MIR1243	MIR1243		55	-0.23012614	-1.0574762	0.3970276	0.60410386	1.0	3336	tags=18%, list=12%, signal=21%	
MIR510_5P	MIR510_5P		65	-0.23704658	-1.0574247	0.3553719	0.60334814	1.0	6373	tags=32%, list=22%, signal=42%	
MIR202_5P	MIR202_5P		108	-0.21864705	-1.0568742	0.3723404	0.6038818	1.0	7696	tags=35%, list=27%, signal=48%	
MIR550A_3P	MIR550A_3P		74	-0.26111412	-1.0566375	0.3778234	0.60359263	1.0	7367	tags=35%, list=26%, signal=47%	
MIR7112_3P	MIR7112_3P		89	-0.21831486	-1.0559803	0.3458498	0.60443604	1.0	6991	tags=27%, list=25%, signal=36%	
MIR4643	MIR4643		202	-0.22592631	-1.0559766	0.3825911	0.6035741	1.0	9913	tags=42%, list=35%, signal=63%	
MIR6750_5P	MIR6750_5P		71	-0.2332438	-1.0549943	0.38793105	0.60525435	1.0	2314	tags=15%, list=8%, signal=17%	
MIR1301_3P_MIR5047	MIR1301_3P_MIR5047		114	-0.241653	-1.0544758	0.41407868	0.60567135	1.0	5141	tags=25%, list=18%, signal=31%	
MIR3126_3P	MIR3126_3P		42	-0.25095195	-1.0534852	0.39308855	0.6074964	1.0	5246	tags=29%, list=18%, signal=35%	
MIR4752	MIR4752		80	-0.23197404	-1.0532798	0.39676112	0.60712457	1.0	5515	tags=24%, list=19%, signal=29%	
MIR4759	MIR4759		50	-0.27215573	-1.0530224	0.40343347	0.6068363	1.0	3096	tags=20%, list=11%, signal=22%	
MIR6816_5P	MIR6816_5P		16	-0.354636	-1.0529432	0.39413	0.6061403	1.0	5143	tags=25%, list=18%, signal=31%	
MIR544A	MIR544A		207	-0.22180691	-1.0512145	0.39175257	0.6097972	1.0	6001	tags=26%, list=21%, signal=33%	
MIR766_3P	MIR766_3P		143	-0.20550722	-1.0510608	0.41237113	0.6092852	1.0	6843	tags=29%, list=24%, signal=38%	
MIR4520_2_3P	MIR4520_2_3P		118	-0.23285255	-1.0509477	0.3685259	0.60868263	1.0	6395	tags=32%, list=23%, signal=41%	
MIR513A_5P	MIR513A_5P		346	-0.19548179	-1.0506868	0.41237113	0.60851145	1.0	7894	tags=33%, list=28%, signal=45%	
MIR4255	MIR4255		169	-0.23830977	-1.0505621	0.39637828	0.6079401	1.0	7354	tags=35%, list=26%, signal=47%	
MIR636	MIR636		205	-0.21750358	-1.0502963	0.35655737	0.60777813	1.0	6100	tags=29%, list=21%, signal=36%	
MIR1228_3P	MIR1228_3P		70	-0.24934113	-1.0498338	0.41129032	0.60819703	1.0	8039	tags=36%, list=28%, signal=50%	
MIR8067	MIR8067		274	-0.22350688	-1.0495791	0.3959596	0.6079823	1.0	5933	tags=26%, list=21%, signal=33%	
MIR146B_5P	MIR146B_5P		111	-0.22681484	-1.0495169	0.3764706	0.607311	1.0	6323	tags=24%, list=22%, signal=31%	
MIR8069	MIR8069		57	-0.25490353	-1.0494996	0.4037267	0.60649997	1.0	4567	tags=23%, list=16%, signal=27%	
MIR29B_3P_MIR29C_3P	MIR29B_3P_MIR29C_3P		417	-0.20205483	-1.0491614	0.35950413	0.6064705	1.0	7478	tags=30%, list=26%, signal=40%	
MIR4735_3P	MIR4735_3P		108	-0.23355171	-1.0481615	0.4004065	0.6081931	1.0	4678	tags=26%, list=16%, signal=31%	
MIR204_3P	MIR204_3P		135	-0.20726512	-1.0480573	0.38539553	0.6076173	1.0	7049	tags=32%, list=25%, signal=42%	
MIR6853_3P	MIR6853_3P		195	-0.22609252	-1.0466989	0.39478958	0.6103414	1.0	5486	tags=25%, list=19%, signal=31%	
MIR6881_3P	MIR6881_3P		177	-0.2084894	-1.0466174	0.35390946	0.60965437	1.0	4581	tags=21%, list=16%, signal=25%	
MIR4483	MIR4483		89	-0.21701902	-1.0462824	0.36695278	0.6097472	1.0	3123	tags=16%, list=11%, signal=18%	
MIR8089	MIR8089		157	-0.22961274	-1.0462816	0.40416667	0.60888714	1.0	5925	tags=28%, list=21%, signal=35%	
MIR5579_5P	MIR5579_5P		73	-0.24718687	-1.0457343	0.37931034	0.6095422	1.0	6272	tags=29%, list=22%, signal=37%	
MIR5680	MIR5680		456	-0.21639785	-1.0451475	0.3987976	0.6101443	1.0	3299	tags=17%, list=12%, signal=19%	
MIR4472	MIR4472		104	-0.22537336	-1.0447047	0.37029287	0.61046505	1.0	5665	tags=24%, list=20%, signal=30%	
MIR382_3P	MIR382_3P		97	-0.23626548	-1.0443865	0.40042374	0.6105099	1.0	7249	tags=35%, list=26%, signal=47%	
MIR629_5P	MIR629_5P		96	-0.22663186	-1.0443498	0.38185653	0.6097686	1.0	5124	tags=23%, list=18%, signal=28%	
MIR4717_3P	MIR4717_3P		68	-0.25560963	-1.0436803	0.3785425	0.61067814	1.0	5268	tags=26%, list=19%, signal=32%	
MIR208B_5P	MIR208B_5P		248	-0.23034143	-1.0436488	0.3786611	0.6099151	1.0	8022	tags=35%, list=28%, signal=49%	
MIR548AN	MIR548AN		468	-0.21438052	-1.0429462	0.40117416	0.6108831	1.0	8080	tags=34%, list=28%, signal=46%	
MIR6529_5P	MIR6529_5P		44	-0.27450818	-1.0428032	0.40336135	0.61038536	1.0	1953	tags=16%, list=7%, signal=17%	
MIR6838_3P	MIR6838_3P		60	-0.25458986	-1.042672	0.40316206	0.60985374	1.0	9717	tags=43%, list=34%, signal=66%	
MIR3152_5P	MIR3152_5P		64	-0.24076106	-1.042177	0.36605316	0.61038446	1.0	4420	tags=22%, list=16%, signal=26%	
MIR5004_3P	MIR5004_3P		122	-0.21215737	-1.0420585	0.4035433	0.6098331	1.0	6528	tags=27%, list=23%, signal=35%	
MIR195_3P	MIR195_3P		224	-0.21048257	-1.041785	0.38969073	0.60966283	1.0	7020	tags=29%, list=25%, signal=39%	
MIR3679_3P	MIR3679_3P		160	-0.19283691	-1.0416136	0.37398374	0.6092712	1.0	5354	tags=21%, list=19%, signal=25%	
MIR10401_5P	MIR10401_5P		75	-0.22251236	-1.0410794	0.4057377	0.6098644	1.0	6494	tags=28%, list=23%, signal=36%	
